,neighborhood,minimum,q25,median,q75,maximum,mean,sd
0,Lincoln Park,-0.9878787994384766,-0.37704917788505554,-0.21387283504009247,0.13333334028720856,0.7066666483879089,-0.14293184876441956,0.33104267716407776
0,Humboldt Park,-0.9722222089767456,-0.3440000116825104,-0.22543352842330933,0.013888888992369175,0.6059113144874573,-0.15402758121490479,0.2544444799423218
0,Grand Boulevard,-0.9661017060279846,-0.29729729890823364,-0.15596330165863037,0.1071428582072258,0.6486486196517944,-0.10062335431575775,0.2552259564399719
0,Printers Row,-0.9710144996643066,-0.41304346919059753,-0.2266666740179062,0.07500000298023224,0.6691176295280457,-0.1633780300617218,0.3341781497001648
0,United Center,-0.9718309640884399,-0.36882129311561584,-0.24758842587471008,-0.06923077255487442,0.6164383292198181,-0.19835636019706726,0.2432452142238617
